id_venta,fecha,id_producto,cantidad,precio_unitario,id_sucursal
1,2024-01-07,P020,1,50,S001
2,2024-01-20,P019,4,100,S002
3,2024-01-15,P019,5,100,S001
4,2024-01-11,P002,1,300,S002
5,2024-01-08,P013,3,300,S001
6,2024-01-21,P003,3,300,S002
7,2024-01-07,P012,1,300,S002
8,2024-01-26,P014,5,300,S002
9,2024-01-19,P003,1,50,S002
10,2024-01-23,P010,3,100,S002
11,2024-01-11,P018,2,100,S002
12,2024-01-11,P009,4,100,S001
13,2024-01-24,P010,3,100,S001
14,2024-01-21,P005,1,300,S001
15,2024-01-04,P003,4,100,S002
16,2024-01-08,P011,1,50,S002
17,2024-01-24,P007,1,50,S002
18,2024-01-03,P013,2,100,S002
19,2024-01-22,P014,4,100,S001
20,2024-01-21,P012,4,50,S001
21,2024-01-02,P019,2,50,S002
22,2024-01-24,P014,3,300,S001
23,2024-01-12,P018,1,50,S001
24,2024-01-06,P012,5,300,S002
25,2024-01-02,P016,1,300,S001
26,2024-01-28,P009,1,300,S002
27,2024-01-21,P018,3,300,S001
28,2024-01-01,P009,1,300,S002
29,2024-01-12,P011,2,100,S002
30,2024-01-26,P001,2,50,S002
31,2024-01-22,P004,4,300,S002
32,2024-01-12,P006,5,50,S001
33,2024-01-25,P001,1,50,S002
34,2024-01-17,P009,1,300,S002
35,2024-01-27,P011,3,100,S002
36,2024-01-27,P017,2,300,S001
37,2024-01-10,P005,5,100,S002
38,2024-01-28,P015,4,50,S001
39,2024-01-28,P003,2,100,S002
40,2024-01-16,P007,4,100,S001
41,2024-01-15,P014,3,100,S001
42,2024-01-15,P019,3,50,S002
43,2024-01-19,P006,1,50,S001
44,2024-01-12,P017,5,100,S002
45,2024-01-23,P005,4,100,S002
46,2024-01-20,P003,2,300,S002
47,2024-01-25,P012,3,100,S001
48,2024-01-03,P009,1,300,S001
49,2024-01-05,P009,1,100,S002
50,2024-01-19,P005,4,300,S002
51,2024-01-07,P003,3,50,S001
52,2024-01-21,P005,5,100,S002
53,2024-01-09,P019,3,100,S002
54,2024-01-07,P002,4,100,S002
55,2024-01-18,P011,4,100,S001
56,2024-01-04,P011,3,300,S001
57,2024-01-25,P005,4,100,S001
58,2024-01-28,P015,3,50,S002
59,2024-01-14,P004,2,50,S002
60,2024-01-18,P020,3,100,S002
61,2024-01-26,P012,3,50,S001
62,2024-01-09,P019,4,100,S002
63,2024-01-26,P013,4,100,S002
64,2024-01-21,P008,1,50,S002
65,2024-01-02,P006,1,100,S002
66,2024-01-20,P018,2,50,S001
67,2024-01-28,P014,1,300,S001
68,2024-01-15,P007,3,100,S002
69,2024-01-28,P001,4,300,S001
70,2024-01-07,P006,1,50,S001
71,2024-01-12,P008,1,300,S002
72,2024-01-08,P016,2,300,S002
73,2024-01-15,P010,2,50,S001
74,2024-01-03,P018,3,300,S002
75,2024-01-14,P018,4,300,S001
76,2024-01-17,P002,2,50,S002
77,2024-01-04,P005,1,300,S001
78,2024-01-18,P017,4,50,S002
79,2024-01-08,P019,4,300,S001
80,2024-01-04,P017,1,50,S001
81,2024-01-02,P007,2,50,S001
82,2024-01-06,P008,1,300,S002
83,2024-01-22,P011,4,300,S001
84,2024-01-10,P017,5,300,S001
85,2024-01-04,P005,5,100,S002
86,2024-01-22,P003,3,100,S002
87,2024-01-18,P005,1,100,S001
88,2024-01-26,P011,1,50,S001
89,2024-01-12,P008,3,300,S002
90,2024-01-02,P004,3,50,S002
91,2024-01-10,P001,3,100,S002
92,2024-01-04,P002,4,300,S002
93,2024-01-14,P011,1,50,S002
94,2024-01-16,P007,4,300,S001
95,2024-01-15,P020,3,50,S002
96,2024-01-08,P009,1,300,S001
97,2024-01-14,P011,4,100,S001
98,2024-01-23,P018,4,100,S001
99,2024-01-28,P013,3,300,S002
100,2024-01-25,P003,1,50,S001
101,2024-02-05,P006,4,50,S002
102,2024-02-01,P007,3,50,S001
103,2024-02-18,P009,1,300,S001
104,2024-02-22,P009,4,100,S002
105,2024-02-27,P018,4,300,S002
106,2024-02-17,P011,3,50,S002
107,2024-02-20,P002,1,100,S001
108,2024-02-18,P019,5,300,S001
109,2024-02-28,P001,3,50,S002
110,2024-02-28,P007,5,300,S002
111,2024-02-03,P005,2,50,S001
112,2024-02-15,P006,5,100,S002
113,2024-02-24,P019,1,100,S001
114,2024-02-01,P002,5,100,S002
115,2024-02-04,P019,5,300,S001
116,2024-02-19,P016,1,100,S002
117,2024-02-28,P018,5,50,S001
118,2024-02-12,P019,4,300,S001
119,2024-02-26,P005,5,300,S001
120,2024-02-02,P001,4,50,S002
121,2024-02-16,P016,4,50,S002
122,2024-02-03,P019,1,100,S001
123,2024-02-12,P018,2,100,S002
124,2024-02-03,P013,5,50,S002
125,2024-02-04,P008,2,100,S002
126,2024-02-22,P017,3,100,S002
127,2024-02-05,P014,1,50,S002
128,2024-02-05,P014,1,300,S001
129,2024-02-17,P016,3,100,S002
130,2024-02-22,P001,5,50,S002
131,2024-02-13,P020,3,50,S002
132,2024-02-25,P007,5,300,S002
133,2024-02-16,P002,3,300,S002
134,2024-02-01,P018,5,50,S001
135,2024-02-11,P006,1,300,S001
136,2024-02-17,P003,4,300,S002
137,2024-02-10,P010,2,300,S001
138,2024-02-03,P020,5,50,S001
139,2024-02-17,P012,1,100,S002
140,2024-02-21,P001,1,50,S002
141,2024-02-05,P009,3,300,S001
142,2024-02-25,P003,1,100,S001
143,2024-02-10,P004,2,50,S002
144,2024-02-08,P008,1,300,S001
145,2024-02-21,P009,2,100,S001
146,2024-02-16,P006,1,50,S002
147,2024-02-09,P017,3,100,S002
148,2024-02-22,P017,2,50,S002
149,2024-02-01,P006,2,300,S002
150,2024-02-04,P010,2,100,S002
151,2024-02-03,P002,2,100,S002
152,2024-02-10,P001,1,300,S001
153,2024-02-12,P010,2,50,S002
154,2024-02-26,P016,1,100,S001
155,2024-02-17,P006,4,50,S002
156,2024-02-23,P001,3,300,S002
157,2024-02-27,P013,1,300,S002
158,2024-02-27,P009,1,50,S002
159,2024-02-22,P001,2,300,S001
160,2024-02-22,P003,4,300,S002
161,2024-02-22,P015,3,50,S002
162,2024-02-09,P016,5,50,S002
163,2024-02-11,P011,4,50,S001
164,2024-02-28,P001,3,100,S001
165,2024-02-27,P007,3,100,S002
166,2024-02-08,P014,1,50,S001
167,2024-02-04,P019,4,50,S001
168,2024-02-23,P006,2,300,S002
169,2024-02-20,P016,3,50,S002
170,2024-02-03,P011,4,100,S001
171,2024-02-15,P013,2,50,S001
172,2024-02-11,P011,1,100,S002
173,2024-02-21,P020,2,300,S002
174,2024-02-19,P001,1,300,S002
175,2024-02-24,P003,2,300,S001
176,2024-02-04,P016,5,50,S002
177,2024-02-28,P001,2,50,S001
178,2024-02-07,P020,2,100,S002
179,2024-02-25,P010,4,300,S002
180,2024-02-20,P017,4,300,S002
181,2024-02-07,P005,1,100,S001
182,2024-02-13,P016,3,300,S002
183,2024-02-24,P010,1,50,S001
184,2024-02-05,P009,2,300,S001
185,2024-02-22,P009,2,300,S001
186,2024-02-15,P020,5,100,S001
187,2024-02-20,P011,3,300,S002
188,2024-02-22,P009,4,300,S001
189,2024-02-20,P002,1,300,S001
190,2024-02-09,P005,5,300,S001
191,2024-02-20,P003,4,50,S001
192,2024-02-22,P020,1,100,S002
193,2024-02-28,P018,3,300,S001
194,2024-02-11,P002,3,50,S001
195,2024-02-18,P004,3,50,S001
196,2024-02-07,P012,2,100,S002
197,2024-02-17,P009,4,100,S002
198,2024-02-17,P008,1,50,S002
199,2024-02-13,P016,5,50,S001
200,2024-02-15,P019,3,50,S001
